t_wql,trp,cdom,temp
10/1/2024 17:16:00,73.1,1617.5,21.5
10/1/2024 17:26:00,73.6,1623.7,21.55
10/1/2024 17:36:00,72.3,1596,21.61
10/1/2024 17:46:00,75.1,1609.3,21.67
10/1/2024 17:56:00,72.9,1618.4,21.74
10/1/2024 18:06:00,72.8,1588.2,21.8
10/1/2024 18:16:00,72.9,1600.8,21.86
10/1/2024 18:26:00,72.9,1611.3,21.91
10/1/2024 18:36:00,74.3,1597.5,21.96
10/1/2024 18:46:00,73.6,1595.6,22.01
10/1/2024 18:56:00,73.5,1602,22.06
10/1/2024 19:06:00,74.7,1608.1,22.12
10/1/2024 19:16:00,74.6,1603,22.18
10/1/2024 19:26:00,73.7,1604.7,22.24
10/1/2024 19:36:00,72.9,1588.6,22.3
10/1/2024 19:46:00,71.3,1579.6,22.34
10/1/2024 19:56:00,74.9,1563.3,22.39
10/1/2024 20:06:00,72.4,1567.4,22.43
10/1/2024 20:16:00,71.8,1561.9,22.47
10/1/2024 20:26:00,72.3,1559.1,22.51
10/1/2024 20:36:00,73.7,1558.4,22.54
10/1/2024 20:46:00,74.1,1555.6,22.57
10/1/2024 20:56:00,73.3,1560.6,22.59
10/1/2024 21:06:00,71.3,1566.3,22.61
10/1/2024 21:16:00,74.1,1564.5,22.62
10/1/2024 21:26:00,73.7,1564.2,22.64
10/1/2024 21:36:00,74.2,1570.3,22.65
10/1/2024 21:46:00,74.1,1570.8,22.66
10/1/2024 21:56:00,74.3,1573,22.66
10/1/2024 22:06:00,74.8,1574.5,22.66
10/1/2024 22:16:00,72.9,1577,22.65
10/1/2024 22:26:00,73.7,1578.8,22.65
10/1/2024 22:36:00,73.1,1575.8,22.64
10/1/2024 22:46:00,72.8,1580.9,22.63
10/1/2024 22:56:00,73.5,1580.9,22.62
10/1/2024 23:06:00,73.2,1579.8,22.6
10/1/2024 23:16:00,74.7,1582.3,22.58
10/1/2024 23:26:00,73,1585.9,22.56
10/1/2024 23:36:00,73.4,1588.2,22.53
10/1/2024 23:46:00,74.2,1588.8,22.5
10/1/2024 23:56:00,71.7,1585.2,22.47
10/2/2024 0:06:00,73.4,1590.6,22.44
10/2/2024 0:16:00,74.8,1597.3,22.41
10/2/2024 0:26:00,73,1599.6,22.37
10/2/2024 0:36:00,73.1,1604.2,22.34
10/2/2024 0:46:00,72.7,1611,22.29
10/2/2024 0:56:00,73.8,1626.2,22.25
10/2/2024 1:06:00,72.6,1636.2,22.2
10/2/2024 1:16:00,73.4,1647.5,22.15
10/2/2024 1:26:00,75.3,1655.9,22.09
10/2/2024 1:36:00,74.2,1659.5,22.05
10/2/2024 1:46:00,74.8,1665.5,21.99
10/2/2024 1:56:00,75.1,1673.2,21.94
10/2/2024 2:06:00,74.9,1679.5,21.88
10/2/2024 2:16:00,74.2,1683,21.84
10/2/2024 2:26:00,75,1684.7,21.78
10/2/2024 2:36:00,74.6,1689.2,21.73
10/2/2024 2:46:00,75.4,1691.5,21.67
10/2/2024 2:56:00,73.9,1694.6,21.62
10/2/2024 3:06:00,74.3,1695.8,21.56
10/2/2024 3:16:00,74.9,1699.3,21.51
10/2/2024 3:26:00,75,1700.7,21.46
10/2/2024 3:36:00,75.9,1700.2,21.4
10/2/2024 3:46:00,74.8,1701.1,21.34
10/2/2024 3:56:00,75,1702.5,21.29
10/2/2024 4:06:00,75.3,1701,21.24
10/2/2024 4:16:00,75.3,1707.8,21.17
10/2/2024 4:26:00,75.4,1711,21.12
10/2/2024 4:36:00,75.4,1708.4,21.06
10/2/2024 4:46:00,74.5,1708.9,21.01
10/2/2024 4:56:00,75.6,1710.4,20.95
10/2/2024 5:06:00,76.7,1713.1,20.9
10/2/2024 5:16:00,77.2,1712.7,20.84
10/2/2024 5:26:00,75.9,1713,20.79
10/2/2024 5:36:00,76.6,1715.3,20.74
10/2/2024 5:46:00,75.8,1715.3,20.68
10/2/2024 5:56:00,76.2,1711.2,20.63
10/2/2024 6:06:00,76.2,1720,20.58
10/2/2024 6:16:00,75.7,1717.3,20.53
10/2/2024 6:26:00,76.7,1721,20.48
10/2/2024 6:36:00,75,1718,20.43
10/2/2024 6:46:00,76.7,1720.8,20.38
10/2/2024 6:56:00,76.1,1721.3,20.33
10/2/2024 7:06:00,76.7,1720.8,20.28
10/2/2024 7:16:00,75.9,1717.9,20.24
10/2/2024 7:26:00,75.3,1723,20.18
10/2/2024 7:36:00,75.4,1720.2,20.14
10/2/2024 7:46:00,76.2,1719.3,20.1
10/2/2024 7:56:00,76,1715.8,20.06
10/2/2024 8:06:00,77.1,1715.9,20.02
10/2/2024 8:16:00,74.9,1715.4,19.99
10/2/2024 8:26:00,75.3,1716.2,19.97
10/2/2024 8:36:00,76.9,1713.6,19.95
10/2/2024 8:46:00,76.7,1711.5,19.93
10/2/2024 8:56:00,75.4,1710.9,19.91
10/2/2024 9:06:00,76,1705.4,19.91
10/2/2024 9:16:00,75.1,1707.1,19.9
10/2/2024 9:26:00,75.2,1705.5,19.91
10/2/2024 9:36:00,75.7,1699.1,19.92
10/2/2024 9:46:00,76.6,1695.4,19.92
10/2/2024 9:56:00,74.2,1692.4,19.94
10/2/2024 10:06:00,74.5,1691.8,19.96
10/2/2024 10:16:00,74.3,1689.2,19.98
10/2/2024 10:26:00,75.2,1681.8,20
10/2/2024 10:36:00,75.3,1677.4,20.03
10/2/2024 10:46:00,76.1,1679.7,20.06
10/2/2024 10:56:00,75.8,1678.4,20.09
10/2/2024 11:06:00,73.6,1673.4,20.12
10/2/2024 11:16:00,76.8,1671.6,20.16
10/2/2024 11:26:00,72.7,1668.9,20.2
10/2/2024 11:36:00,76.4,1671,20.25
10/2/2024 11:46:00,74.6,1687.7,20.31
10/2/2024 11:56:00,75,1695.7,20.38
10/2/2024 12:06:00,75.7,1698.4,20.45
10/2/2024 12:16:00,75.6,1697.1,20.53
10/2/2024 12:26:00,73.4,1700.4,20.6
10/2/2024 12:36:00,75.4,1694,20.67
10/2/2024 12:46:00,75.1,1690.4,20.73
10/2/2024 12:56:00,73.3,1687.6,20.79
10/2/2024 13:06:00,74.5,1679.6,20.85
10/2/2024 13:16:00,74.7,1657.4,20.9
10/2/2024 13:26:00,74.2,1659.8,20.95
10/2/2024 13:36:00,73.6,1647.8,21
10/2/2024 13:46:00,74.2,1643,21.03
10/2/2024 13:56:00,75.2,1640,21.07
10/2/2024 14:06:00,72.8,1637.6,21.1
10/2/2024 14:16:00,74.5,1637.3,21.12
10/2/2024 14:26:00,74.2,1640.8,21.13
10/2/2024 14:36:00,75.2,1640.2,21.14
10/2/2024 14:46:00,73.3,1639.3,21.15
10/2/2024 14:56:00,75.2,1642.5,21.15
10/2/2024 15:06:00,74,1638.8,21.16
10/2/2024 15:16:00,74,1638,21.17
10/2/2024 15:26:00,74.5,1637.4,21.17
10/2/2024 15:36:00,74.1,1636.1,21.18
10/2/2024 15:46:00,73.6,1633,21.19
10/2/2024 15:56:00,74.5,1630.2,21.2
10/2/2024 16:06:00,74.1,1628.8,21.21
10/2/2024 16:16:00,74.8,1623.4,21.23
10/2/2024 16:26:00,73.6,1620.1,21.26
10/2/2024 16:36:00,74.9,1615.6,21.28
10/2/2024 16:46:00,73.1,1610.3,21.32
10/2/2024 16:56:00,73.4,1616.6,21.36
10/2/2024 17:06:00,73,1615.1,21.41
10/2/2024 17:16:00,73.8,1625.5,21.46
10/2/2024 17:26:00,72.2,1621.9,21.52
10/2/2024 17:36:00,75.1,1617.1,21.58
10/2/2024 17:46:00,73.1,1622.3,21.64
10/2/2024 17:56:00,72.9,1620.1,21.71
10/2/2024 18:16:00,73.5,1603.5,21.84
10/2/2024 18:26:00,72.2,1600.2,21.9
10/2/2024 18:36:00,72.8,1586.7,21.95
10/2/2024 18:46:00,73.8,1585.1,22
10/2/2024 18:56:00,73.3,1589.1,22.05
10/2/2024 19:06:00,72.2,1574.2,22.1
10/2/2024 19:16:00,72.4,1569.8,22.16
10/2/2024 19:26:00,71.8,1558.4,22.21
10/2/2024 19:36:00,73,1551.6,22.27
10/2/2024 19:46:00,72.3,1547.1,22.32
10/2/2024 19:56:00,72.8,1556.6,22.37
10/2/2024 20:06:00,72.3,1538.7,22.42
10/2/2024 20:16:00,71.7,1532.9,22.46
10/2/2024 20:26:00,71.2,1530.3,22.5
10/2/2024 20:36:00,70.8,1535.6,22.53
10/2/2024 20:46:00,73,1529.6,22.56
10/2/2024 20:56:00,71.3,1531,22.58
10/2/2024 21:06:00,72.3,1531.2,22.6
10/2/2024 21:16:00,73.1,1529.8,22.62
10/2/2024 21:26:00,72.9,1534.8,22.64
10/2/2024 21:36:00,72.7,1533.1,22.65
10/2/2024 21:46:00,73.2,1533.8,22.65
10/2/2024 21:56:00,72.7,1538.3,22.66
10/2/2024 22:06:00,71.7,1538,22.66
10/2/2024 22:16:00,72.9,1540.8,22.66
10/2/2024 22:26:00,71.9,1541.4,22.66
10/2/2024 22:36:00,73.1,1539.9,22.66
10/2/2024 22:46:00,72.6,1541.1,22.66
10/2/2024 22:56:00,71.8,1543.8,22.65
10/2/2024 23:06:00,72.5,1544.7,22.65
10/2/2024 23:16:00,72.8,1546.4,22.65
10/2/2024 23:26:00,71.8,1548.4,22.64
10/2/2024 23:36:00,73.2,1551.8,22.63
10/2/2024 23:46:00,72.1,1553.3,22.61
10/2/2024 23:56:00,72.9,1554.1,22.59
10/3/2024 0:06:00,73.5,1557.5,22.56
10/3/2024 0:16:00,72.8,1565.3,22.53
10/3/2024 0:26:00,73.5,1573.3,22.48
10/3/2024 0:36:00,72.8,1573.9,22.44
10/3/2024 0:46:00,72,1598.5,22.4
10/3/2024 0:56:00,73.9,1605.7,22.35
10/3/2024 1:06:00,72.2,1614.4,22.31
10/3/2024 1:16:00,72.8,1621,22.26
10/3/2024 1:26:00,73.1,1630.7,22.22
10/3/2024 1:36:00,74,1636,22.18
10/3/2024 1:46:00,73.8,1638.2,22.13
10/3/2024 1:56:00,73.6,1642.5,22.09
10/3/2024 2:06:00,75.4,1645.1,22.05
10/3/2024 2:16:00,73,1645.8,22.01
10/3/2024 2:26:00,73.7,1648.7,21.97
10/3/2024 2:36:00,73,1653.8,21.93
10/3/2024 2:46:00,75.7,1655.2,21.89
10/3/2024 2:56:00,73.3,1655.1,21.86
10/3/2024 3:06:00,73.6,1656.6,21.81
10/3/2024 3:16:00,73,1663.2,21.77
10/3/2024 3:26:00,72.4,1662.6,21.73
10/3/2024 3:36:00,73.9,1662.8,21.69
10/3/2024 3:46:00,73.6,1666.3,21.65
10/3/2024 3:56:00,73.3,1671.1,21.6
10/3/2024 4:06:00,73.7,1671.4,21.56
10/3/2024 4:16:00,75.2,1669.9,21.52
10/3/2024 4:26:00,74.4,1670.7,21.47
10/3/2024 4:36:00,73.7,1670.2,21.42
10/3/2024 4:46:00,72.7,1671.7,21.38
10/3/2024 4:56:00,73.7,1672.5,21.34
10/3/2024 5:06:00,74.7,1672.7,21.3
10/3/2024 5:16:00,74.1,1672.9,21.26
10/3/2024 5:26:00,74.5,1671.1,21.22
10/3/2024 5:36:00,73.4,1671.7,21.18
10/3/2024 5:46:00,73.5,1674.8,21.13
10/3/2024 5:56:00,74.3,1670.8,21.1
10/3/2024 6:06:00,73,1675.9,21.06
10/3/2024 6:16:00,74.4,1676,21.02
10/3/2024 6:26:00,73.8,1680.1,20.98
10/3/2024 6:36:00,73.5,1679,20.94
10/3/2024 6:46:00,73.4,1680.7,20.9
10/3/2024 6:56:00,73.8,1681.3,20.87
10/3/2024 7:06:00,74.7,1680.2,20.83
10/3/2024 7:16:00,73.8,1685.7,20.8
10/3/2024 7:26:00,75.3,1684.4,20.76
10/3/2024 7:36:00,72.7,1684.9,20.73
10/3/2024 7:46:00,75.5,1685,20.7
10/3/2024 7:56:00,73.9,1685.3,20.67
10/3/2024 8:06:00,75.2,1685.1,20.64
10/3/2024 8:16:00,73.1,1690.1,20.61
10/3/2024 8:26:00,74.8,1687,20.59
10/3/2024 8:36:00,73.5,1686,20.57
10/3/2024 8:46:00,74.6,1688.7,20.54
10/3/2024 8:56:00,74.3,1688.9,20.53
10/3/2024 9:06:00,75.7,1684.1,20.51
10/3/2024 9:16:00,74.2,1687.3,20.49
10/3/2024 9:26:00,73.7,1687.8,20.48
10/3/2024 9:36:00,74.1,1683.1,20.46
10/3/2024 9:46:00,74.5,1685.6,20.45
10/3/2024 9:56:00,73.9,1681,20.45
10/3/2024 10:06:00,74.7,1678.9,20.46
10/3/2024 10:16:00,73.9,1681.9,20.46
10/3/2024 10:26:00,73.5,1677.8,20.47
10/3/2024 10:36:00,74.7,1669.8,20.48
10/3/2024 10:46:00,74.1,1668.3,20.49
10/3/2024 10:56:00,73.6,1660.1,20.51
10/3/2024 11:06:00,74.1,1657.5,20.54
10/3/2024 11:16:00,73.7,1657.2,20.57
10/3/2024 11:26:00,75,1651.6,20.6
10/3/2024 11:36:00,73.6,1646.5,20.65
10/3/2024 11:46:00,73.9,1647.7,20.69
10/3/2024 11:56:00,73.9,1674.2,20.75
10/3/2024 12:06:00,73.6,1674.8,20.82
10/3/2024 12:16:00,73.1,1674.8,20.89
10/3/2024 12:26:00,75.6,1680.4,20.95
10/3/2024 12:36:00,74,1670.7,21.02
10/3/2024 12:46:00,73.3,1670.5,21.08
10/3/2024 12:56:00,75.8,1673,21.13
10/3/2024 13:06:00,74.7,1638,21.18
10/3/2024 13:16:00,74.4,1628.7,21.23
10/3/2024 13:26:00,72.3,1626.2,21.26
10/3/2024 13:36:00,73.5,1626.3,21.3
10/3/2024 13:46:00,73.1,1623.3,21.33
10/3/2024 13:56:00,72,1624.4,21.35
10/3/2024 14:06:00,72.9,1622.2,21.38
10/3/2024 14:16:00,75.7,1626.1,21.39
10/3/2024 14:26:00,73.1,1626.1,21.4
10/3/2024 14:36:00,73.7,1623,21.42
10/3/2024 14:46:00,74.3,1619.6,21.43
10/3/2024 14:56:00,73.4,1620.1,21.43
10/3/2024 15:06:00,73.9,1618.1,21.43
10/3/2024 15:16:00,73.5,1617.2,21.43
10/3/2024 15:26:00,73.6,1616.9,21.43
10/3/2024 15:36:00,72.9,1612.5,21.44
10/3/2024 15:46:00,73.6,1613.2,21.46
10/3/2024 15:56:00,73.4,1610.9,21.47
10/3/2024 16:06:00,73.2,1608,21.49
10/3/2024 16:16:00,72.7,1602.6,21.52
10/3/2024 16:26:00,72.6,1599.2,21.55
10/3/2024 16:36:00,73.9,1594.6,21.58
10/3/2024 16:46:00,72.8,1598.9,21.64
10/3/2024 16:56:00,72.7,1612.5,21.69
10/3/2024 17:06:00,72,1619.7,21.74
10/3/2024 17:16:00,72.1,1616.3,21.8
10/3/2024 17:26:00,74.2,1621.3,21.85
10/3/2024 17:36:00,73.2,1606.4,21.9
10/3/2024 17:46:00,71.4,1590.3,21.95
10/3/2024 17:56:00,72.6,1575.2,22
10/3/2024 18:06:00,72.3,1573,22.04
10/3/2024 18:16:00,71.4,1573.4,22.07
10/3/2024 18:26:00,71.6,1564.8,22.09
10/3/2024 18:36:00,70.9,1563.5,22.12
10/3/2024 18:46:00,70.5,1561.1,22.15
10/3/2024 18:56:00,71.9,1559.4,22.17
10/3/2024 19:06:00,71.9,1554.4,22.2
10/3/2024 19:16:00,72.5,1553.4,22.24
10/3/2024 19:26:00,74.3,1547.9,22.27
10/3/2024 19:36:00,70.8,1543.9,22.3
10/3/2024 19:46:00,72,1542.8,22.33
10/3/2024 19:56:00,72.1,1538.1,22.36
10/3/2024 20:06:00,71.8,1540.7,22.39
10/3/2024 20:16:00,70.9,1537.7,22.42
10/3/2024 20:26:00,72.4,1537,22.44
10/3/2024 20:36:00,72.5,1535.9,22.46
10/3/2024 20:46:00,72,1534.4,22.48
10/3/2024 20:56:00,70.9,1536.6,22.5
10/3/2024 21:06:00,72.5,1536,22.52
10/3/2024 21:16:00,72.8,1532.3,22.53
10/3/2024 21:26:00,73.6,1537.5,22.54
10/3/2024 21:36:00,71.9,1540.4,22.55
10/3/2024 21:46:00,72.4,1538.7,22.56
10/3/2024 21:56:00,74.4,1538.3,22.57
10/3/2024 22:06:00,72.3,1541,22.58
10/3/2024 22:16:00,72.9,1543,22.59
10/3/2024 22:26:00,72.6,1543.4,22.6
10/3/2024 22:36:00,73.5,1542.3,22.6
10/3/2024 22:46:00,72.8,1546.2,22.61
10/3/2024 22:56:00,73.2,1547.6,22.61
10/3/2024 23:06:00,71,1549.8,22.61
10/3/2024 23:16:00,72.5,1551,22.62
10/3/2024 23:26:00,71.4,1554.2,22.62
10/3/2024 23:36:00,73.7,1554.4,22.61
10/3/2024 23:46:00,71.7,1557.6,22.61
10/3/2024 23:56:00,73.3,1559,22.6
10/4/2024 0:06:00,73.4,1565.7,22.6
10/4/2024 0:16:00,72.6,1566.5,22.6
10/4/2024 0:26:00,72.1,1568.5,22.59
10/4/2024 0:36:00,73.4,1567,22.58
10/4/2024 0:46:00,72.8,1568.6,22.57
10/4/2024 0:56:00,73.2,1573.6,22.55
10/4/2024 1:06:00,72.3,1578.4,22.53
10/4/2024 1:16:00,72.3,1585.4,22.51
10/4/2024 1:26:00,73.2,1584.6,22.48
10/4/2024 1:36:00,73.4,1594.3,22.45
10/4/2024 1:46:00,73,1617.2,22.42
10/4/2024 1:56:00,73.2,1640.1,22.38
10/4/2024 2:06:00,73,1654.1,22.34
10/4/2024 2:16:00,74,1661.4,22.31
10/4/2024 2:26:00,73.5,1670.9,22.27
10/4/2024 2:36:00,73.6,1674.7,22.23
10/4/2024 2:46:00,74.7,1676.6,22.2
10/4/2024 2:56:00,73.5,1678,22.16
10/4/2024 3:06:00,72.6,1680.5,22.12
10/4/2024 3:16:00,72.9,1681.1,22.08
10/4/2024 3:26:00,74.3,1679,22.04
10/4/2024 3:36:00,72.9,1685.1,22
10/4/2024 3:46:00,73.9,1683.6,21.96
10/4/2024 3:56:00,74.7,1687.6,21.92
10/4/2024 4:06:00,73.5,1687.1,21.88
10/4/2024 4:16:00,72.7,1686.6,21.84
10/4/2024 4:26:00,73.7,1690,21.8
10/4/2024 4:36:00,75.4,1694.6,21.75
10/4/2024 4:46:00,73.9,1692.2,21.7
10/4/2024 4:56:00,73.8,1693.1,21.66
10/4/2024 5:06:00,74.9,1696.3,21.61
10/4/2024 5:16:00,74.2,1695.7,21.57
10/4/2024 5:26:00,76.2,1695.8,21.52
10/4/2024 5:36:00,75.6,1695.7,21.47
10/4/2024 5:46:00,74,1695.6,21.42
10/4/2024 5:56:00,74.3,1696.4,21.38
10/4/2024 6:06:00,74.6,1698.2,21.33
10/4/2024 6:16:00,73.2,1698.6,21.28
10/4/2024 6:26:00,75.1,1699.3,21.23
10/4/2024 6:36:00,74.5,1697.5,21.18
10/4/2024 6:46:00,74,1697.4,21.13
10/4/2024 6:56:00,74.1,1698.9,21.08
10/4/2024 7:06:00,74.6,1701,21.03
10/4/2024 7:16:00,73.3,1701.4,20.99
10/4/2024 7:26:00,74.2,1697.7,20.95
10/4/2024 7:36:00,74.9,1695.9,20.91
10/4/2024 7:46:00,73,1695.3,20.88
10/4/2024 7:56:00,73.6,1698.8,20.84
10/4/2024 8:06:00,73.6,1692.8,20.82
10/4/2024 8:16:00,74,1692,20.79
10/4/2024 8:26:00,73.9,1689.2,20.78
10/4/2024 8:36:00,74.2,1683.6,20.76
10/4/2024 8:46:00,74.8,1682.5,20.76
10/4/2024 8:56:00,74.1,1677.9,20.75
10/4/2024 9:06:00,74.2,1680.2,20.74
10/4/2024 9:16:00,72.7,1681,20.73
10/4/2024 9:26:00,73.6,1675.5,20.72
10/4/2024 9:36:00,74.4,1675.5,20.71
10/4/2024 9:46:00,73.3,1668.2,20.71
10/4/2024 9:56:00,73.9,1666.1,20.72
10/4/2024 10:06:00,73.1,1663.3,20.72
10/4/2024 10:16:00,73.3,1660.4,20.72
10/4/2024 10:26:00,73.3,1658.1,20.73
10/4/2024 10:36:00,73.1,1652.8,20.74
10/4/2024 10:46:00,73.8,1654.3,20.76
10/4/2024 10:56:00,73.9,1649.4,20.79
10/4/2024 11:06:00,73.1,1647.3,20.8
10/4/2024 11:16:00,73.5,1646.7,20.83
10/4/2024 11:26:00,73.7,1645.2,20.86
10/4/2024 11:36:00,72.9,1641.3,20.9
10/4/2024 11:46:00,73.2,1637,20.94
10/4/2024 11:56:00,74.3,1673.4,20.99
10/4/2024 12:06:00,72.3,1638.2,21.05
10/4/2024 12:16:00,72.8,1671.2,21.11
10/4/2024 12:26:00,72.5,1663.5,21.17
10/4/2024 12:36:00,73.8,1656.4,21.23
10/4/2024 12:46:00,73,1656.1,21.29
10/4/2024 12:56:00,71.8,1636.2,21.34
10/4/2024 13:06:00,72.9,1631.1,21.39
10/4/2024 13:16:00,72,1625.8,21.43
10/4/2024 13:26:00,72.8,1623.2,21.46
10/4/2024 13:36:00,71.9,1619.3,21.49
10/4/2024 13:46:00,73.4,1621.1,21.51
10/4/2024 13:56:00,74.2,1619.5,21.53
10/4/2024 14:06:00,73.8,1621.2,21.54
10/4/2024 14:16:00,73.7,1622,21.54
10/4/2024 14:26:00,72.4,1621.3,21.55
10/4/2024 14:36:00,73.1,1617.4,21.55
10/4/2024 14:46:00,72.4,1612.4,21.55
10/4/2024 14:56:00,71.4,1611.2,21.55
10/4/2024 15:06:00,71.5,1609.2,21.55
10/4/2024 15:16:00,72.7,1610.6,21.56
10/4/2024 15:26:00,72.2,1609.7,21.56
10/4/2024 15:36:00,71.9,1609.1,21.57
10/4/2024 15:46:00,72.3,1607.4,21.57
10/4/2024 15:56:00,74,1609.2,21.59
10/4/2024 16:06:00,73.4,1600.9,21.61
10/4/2024 16:16:00,73.4,1601.6,21.64
10/4/2024 16:26:00,72.1,1596.6,21.67
10/4/2024 16:36:00,71.9,1597.4,21.71
10/4/2024 16:46:00,73,1612.4,21.75
10/4/2024 16:56:00,74.2,1623.6,21.8
10/4/2024 17:06:00,73.3,1630.2,21.86
10/4/2024 17:16:00,72.9,1632.5,21.91
10/4/2024 17:26:00,73.2,1626.9,21.97
10/4/2024 17:36:00,73.1,1619.9,22.03
10/4/2024 17:46:00,72.1,1617.1,22.08
10/4/2024 17:56:00,72.6,1592.6,22.13
10/4/2024 18:06:00,72.2,1587.8,22.18
10/4/2024 18:16:00,72.4,1582.5,22.22
10/4/2024 18:26:00,72.3,1576.5,22.25
10/4/2024 18:36:00,72.5,1573.7,22.29
10/4/2024 18:46:00,70.7,1571.7,22.32
10/4/2024 18:56:00,72.9,1567.1,22.35
10/4/2024 19:06:00,70.7,1566.2,22.38
